Max_deflection,Thickness,Volume,Stiffness
0.493,20,16,2.61
0.372,43,16,2.61
0.373,57,16,2.61
0.344,68,16,2.61
0.465,70,16,2.61
0.212,20,28,2.61
0.382,43,28,2.61
0.241,57,28,2.61
0.434,68,28,2.61
0.353,70,28,2.61
0.325,20,45,2.61
0.286,43,45,2.61
0.22,57,45,2.61
0.345,68,45,2.61
0.435,70,45,2.61
0.401,20,64,2.61
0.336,43,64,2.61
0.305,57,64,2.61
0.418,68,64,2.61
0.273,70,64,2.61
0.526,20,82,2.61
0.456,43,82,2.61
0.348,57,82,2.61
0.366,68,82,2.61
0.399,70,82,2.61
0.247,30.55,14,1.21
0.244,22.44,14,1.21
0.266,30.55,33,1.21
0.296,22.44,33,1.21
0.325,30.55,48,1.21
0.289,22.44,48,1.21
0.42,30.55,66,1.21
0.351,22.44,66,1.21
0.44,30.55,86,1.21
0.421,22.44,86,1.21
0.243,70,12,0.98
0.247,94,12,0.98
0.218,100,12,0.98
0.177,70,25,0.98
0.253,94,25,0.98
0.19,100,25,0.98
0.314,70,39,0.98
0.228,94,39,0.98
0.254,100,39,0.98
0.305,70,52,0.98
0.324,94,52,0.98
0.309,100,52,0.98
0.372,70,68,0.98
0.375,94,68,0.98
0.304,100,68,0.98
0.35,70,92,0.98
0.298,94,92,0.98
0.38,100,92,0.98
0.209,110,12,0.56
0.337,25,12,0.56
0.268,110,25,0.56
0.316,25,25,0.56
0.259,110,39,0.56
0.238,25,39,0.56
0.388,110,52,0.56
0.323,25,52,0.56
0.389,110,68,0.56
0.367,25,68,0.56
0.488,110,92,0.56
0.604,25,92,0.56
0.239,47.8,14,3.59
0.204,75,14,3.59
0.216,20.4,14,3.59
0.331,47.8,33,3.59
0.289,75,33,3.59
0.269,20.4,33,3.59
0.351,47.8,48,3.59
0.375,75,48,3.59
0.32,20.4,48,3.59
0.22,47.8,66,3.59
0.282,75,66,3.59
0.452,20.4,66,3.59
0.318,47.8,86,3.59
0.246,75,86,3.59
0.36,20.4,86,3.59
0.289,30,12,2.91
0.227,30,25,2.91
0.272,30,39,2.91
0.362,30,52,2.91
0.352,30,68,2.91
0.487,30,92,2.91
